FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
Jayson,Tatum,black,USA,,Jayson Tatum
Jeff,Green,black,USA,,Jeff Green
Jeff,Teague,black,USA,,Jeff Teague
Jerami,Grant,black,USA,,Jerami Grant
Jeremiah,Martin,black,USA,,Jeremiah Martin
Jeremy,Lamb,black,USA,,Jeremy Lamb
Jerome,Robinson,black,USA,,Jerome Robinson
Jevon,Carter,black,USA,,Jevon Carter
Jimmy,Butler,black,USA,,Jimmy Butler
JJ,Redick,white,USA,,JJ Redick
Joakim,Noah,black/Mixed,USA,Swedish/French,Joakim Noah
Joe,Chealey,black,USA,,Joe Chealey
Joe,Harris,white,USA,,Joe Harris
Joe,Ingles,white,Australia,,Joe Ingles
Joel,Embiid,black,Cameroon,,Joel Embiid
John,Collins,black,USA,,John Collins
John,Henson,black,USA,,John Henson
John,Konchar,white,USA,,John Konchar
John,Wall,black,USA,,John Wall
Johnathan,Motley,black,USA,,Johnathan Motley
Johnathan,Williams,black,USA,,Johnathan Williams
Jonas,Valanciunas,white,Lithuania,,Jonas Valanciunas
Jonathan,Isaac,black,USA,,Jonathan Isaac
Jontay,Porter,black/Mixed,USA,,Jontay Porter
Jordan,Bone,black,USA,,Jordan Bone
Jordan,Clarkson,black/Mixed,Philippines,,Jordan Clarkson
Jordan,McLaughlin,black,USA,,Jordan McLaughlin
Jordan,McRae,black,USA,,Jordan McRae
Jordan,Poole,black/Mixed,USA,,Jordan Poole
Josh,Gray,black,USA,,Josh Gray
Josh,Hart,black,USA,,Josh Hart
Josh,Jackson,black,USA,,Josh Jackson
Josh,Okogie,black,Nigeria,,Josh Okogie
Josh,Reaves,black,USA,,Josh Reaves
Josh,Richardson,black,USA,,Josh Richardson
Jrue,Holiday,black,USA,,Jrue Holiday
Juan,Toscano-Anderson,black/Mixed,USA,Hispanic/Mexican,Juan Toscano-Anderson
Juancho,Hernangomez,white,Spain,Hispanic,Juancho Hernangomez
